id,hname,City,State,year,rate,stategroup,stateorder,stateposition
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2013,0,0,0,1
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2014,0,0,0,1
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2015,0,0,0,1
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2016,0,0,0,1
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2017,0,0,0,1
70040,HEBREW HOME AND HOSPITAL INC,WEST HARTFORD,CT,FY2018,0,0,0,1
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2013,0.38,0,0,2
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2014,0.22,0,0,2
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2015,1.06,0,0,2
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2016,0.84,0,0,2
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2017,0.56,0,0,2
70035,"HOSPITAL OF CENTRAL CONNECTICUT, THE",NEW BRITAIN,CT,FY2018,0.08,0,0,2
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2013,0.03,0,0,3
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2014,0.05,0,0,3
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2015,0.2,0,0,3
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2016,0.56,0,0,3
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2017,0.43,0,0,3
70034,NORWALK HOSPITAL ASSOCIATION,NORWALK,CT,FY2018,0.09,0,0,3
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2013,0,0,0,4
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2014,0.05,0,0,4
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2015,0.65,0,0,4
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2016,0.48,0,0,4
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2017,0.42,0,0,4
70021,WINDHAM COMM MEM HOSP & HATCH HOSP,WILLIMANTIC,CT,FY2018,0.12,0,0,4
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2013,0.08,0,0,5
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2014,0,0,0,5
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2015,0.06,0,0,5
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2016,0.15,0,0,5
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2017,0.29,0,0,5
70006,STAMFORD HOSPITAL,STAMFORD,CT,FY2018,0.2,0,0,5
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2013,0.46,0,0,6
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2014,0.13,0,0,6
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2015,0.06,0,0,6
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2016,0.05,0,0,6
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2017,0.18,0,0,6
70016,SAINT MARYS HOSPITAL,WATERBURY,CT,FY2018,0.21,0,0,6
70004,SHARON HOSPITAL,SHARON,CT,FY2013,0,0,0,7
70004,SHARON HOSPITAL,SHARON,CT,FY2014,0.04,0,0,7
70004,SHARON HOSPITAL,SHARON,CT,FY2015,0.4,0,0,7
70004,SHARON HOSPITAL,SHARON,CT,FY2016,0.34,0,0,7
70004,SHARON HOSPITAL,SHARON,CT,FY2017,0.3,0,0,7
70004,SHARON HOSPITAL,SHARON,CT,FY2018,0.21,0,0,7
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2013,0,0,0,8
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2014,0.04,0,0,8
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2015,0.56,0,0,8
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2016,0.75,0,0,8
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2017,0.71,0,0,8
70024,WILLIAM W BACKUS HOSPITAL,NORWICH,CT,FY2018,0.21,0,0,8
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2013,1,0,0,9
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2014,1.14,0,0,9
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2015,1.17,0,0,9
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2016,0.3,0,0,9
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2017,0.4,0,0,9
70039,MASONICARE HEALTH CENTER,WALLINGFORD,CT,FY2018,0.23,0,0,9
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2013,0,0,0,10
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2014,0,0,0,10
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2015,1.24,0,0,10
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2016,1.38,0,0,10
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2017,0.25,0,0,10
70020,MIDDLESEX HOSPITAL,MIDDLETOWN,CT,FY2018,0.24,0,0,10
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2013,0.53,0,0,11
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2014,0.04,0,0,11
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2015,0.37,0,0,11
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2016,0.17,0,0,11
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2017,0.33,0,0,11
70036,JOHN DEMPSEY HOSPITAL,FARMINGTON,CT,FY2018,0.24,0,0,11
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2013,0.2,0,0,12
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2014,0.13,0,0,12
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2015,0.6,0,0,12
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2016,0.11,0,0,12
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2017,0.15,0,0,12
70007,LAWRENCE & MEMORIAL HOSPITAL,NEW LONDON,CT,FY2018,0.27,0,0,12
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2013,1,0,0,13
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2014,0.97,0,0,13
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2015,0.77,0,0,13
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2016,0.56,0,0,13
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2017,0.52,0,0,13
70031,GRIFFIN HOSPITAL,DERBY,CT,FY2018,0.3,0,0,13
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2013,0.17,0,0,14
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2014,0.39,0,0,14
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2015,0.48,0,0,14
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2016,0.36,0,0,14
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2017,0.72,0,0,14
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,HARTFORD,CT,FY2018,0.3,0,0,14
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2013,0.05,0,0,15
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2014,0,0,0,15
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2015,0.49,0,0,15
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2016,0.37,0,0,15
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2017,0.53,0,0,15
70003,DAY KIMBALL HOSPITAL,PUTNAM,CT,FY2018,0.4,0,0,15
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2013,0.42,0,0,16
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2014,0.76,0,0,16
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2015,1.47,0,0,16
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2016,1.7,0,0,16
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2017,1.49,0,0,16
70019,"MILFORD HOSPITAL, INC",MILFORD,CT,FY2018,0.41,0,0,16
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2013,0,0,0,17
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2014,0.1,0,0,17
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2015,0.24,0,0,17
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2016,0.66,0,0,17
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2017,0.49,0,0,17
70025,HARTFORD HOSPITAL,HARTFORD,CT,FY2018,0.49,0,0,17
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2013,0.08,0,0,18
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2014,0.04,0,0,18
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2015,0.71,0,0,18
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2016,1.19,0,0,18
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2017,1.13,0,0,18
70011,CHARLOTTE HUNGERFORD HOSPITAL,TORRINGTON,CT,FY2018,0.51,0,0,18
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2013,0.79,0,0,19
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2014,1.06,0,0,19
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2015,1.84,0,0,19
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2016,1.09,0,0,19
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2017,0.59,0,0,19
70028,ST VINCENT'S MEDICAL CENTER,BRIDGEPORT,CT,FY2018,0.63,0,0,19
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2013,0,0,0,20
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2014,0,0,0,20
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2015,0.02,0,0,20
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2016,1.04,0,0,20
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2017,1.05,0,0,20
70027,MANCHESTER MEMORIAL HOSPITAL,MANCHESTER,CT,FY2018,0.66,0,0,20
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2013,0,0,0,21
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2014,0,0,0,21
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2015,0.85,0,0,21
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2016,0.9,0,0,21
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2017,1.83,0,0,21
70012,ROCKVILLE GENERAL HOSPITAL,ROCKVILLE,CT,FY2018,0.78,0,0,21
70018,GREENWICH HOSPITAL ASSOCIATION,GREENWICH,CT,FY2013,0.44,0,0,22
70018,GREENWICH HOSPITAL ASSOCIATION,GREENWICH,CT,FY2014,0.41,0,0,22
